Nombre = Van de Vooren symmetrical airfoil 14,335%, 30,0°
Mach = 0; Re = 200000; T.E. = 1,0; T.I. = 1,0
Acabado superficial = 0; modelo de pérdida = 0; Transition model = 1; Alargamiento = 0; efecto suelo = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-180,0	0,000	0,00960	-0,000	0,675	0,675	0,977	0,977	0,000	0,235	0,250
-179,0	-0,122	0,00968	-0,002	0,630	0,712	0,977	0,977	-12,608	0,235	0,235
-178,0	-0,244	0,00993	-0,004	0,572	0,744	0,978	0,976	-24,554	0,235	0,235
-177,0	-0,365	0,01044	-0,006	0,498	0,773	0,977	0,976	-34,947	0,235	0,235
-176,0	-0,485	0,01138	-0,007	0,398	0,796	0,975	0,975	-42,641	0,234	0,235
-175,0	-0,603	0,01322	-0,009	0,223	0,817	0,971	0,974	-45,616	0,234	0,235
-174,0	-0,719	0,01596	-0,011	0,040	0,834	0,960	0,974	-45,028	0,234	0,234
-173,0	-0,829	0,01734	-0,013	0,023	0,852	0,950	0,973	-47,816	0,233	0,234
-172,0	-0,932	0,01879	-0,015	0,017	0,864	0,935	0,973	-49,590	0,232	0,234
-171,0	-1,026	0,02051	-0,016	0,014	0,877	0,913	0,972	-50,020	0,232	0,234
-170,0	-1,109	0,02261	-0,018	0,010	0,890	0,861	0,972	-49,069	0,268	0,234
-169,0	-1,180	0,02140	-0,014	0,009	0,897	0,137	0,973	-55,162	0,296	0,238
-168,0	-1,237	0,02281	-0,012	0,007	0,906	0,050	0,973	-54,238	0,274	0,240
-167,0	-1,279	0,02575	-0,011	0,007	0,915	0,024	0,973	-49,680	0,256	0,241
-166,0	-1,306	0,03036	-0,012	0,005	0,922	0,020	0,974	-43,022	0,226	0,241
-165,0	-1,318	0,03734	-0,012	0,005	0,927	0,018	0,975	-35,293	0,165	0,241
-164,0	-1,316	0,04373	-0,012	0,005	0,932	0,016	0,976	-30,086	0,278	0,241
-163,0	-1,301	0,05267	-0,013	0,005	0,938	0,013	0,976	-24,697	0,249	0,240
-162,0	-1,275	0,05926	-0,012	0,005	0,944	0,009	0,976	-21,517	0,258	0,240
-161,0	-1,241	0,07141	-0,013	0,004	0,948	0,009	0,976	-17,373	0,260	0,239
